Publication,Website,Category,Total Score,Priority Tier,RSS Status,RSS Feed URL / Hub,Primary Audience,Core Coverage,Original Data Fit,Syndication Likelihood (1-5),Data-Story Fit (1-5),Why It Matters / Pitch Angle
Boldin,https://www.boldin.com/retirement/,Retirement planning,14,Tier 2,Yes,https://www.boldin.com/retirement/feed/,Pre-retirees/retirees,"Retirement planning, longevity, Social Security, housing",High,3,4,Good for longevity and retirement-readiness data.
Business Insider,https://www.businessinsider.com/,General consumer/business news,14,Tier 2,,,Mass consumer audience,"Eldercare, retirement, aging workforce, housing, family finance",High,3,5,Publishes eldercare and aging-family-finance stories; excellent PR target.
Kiplinger,https://www.kiplinger.com/retirement,Personal finance/retirement,14,Tier 2,,,"Affluent consumers, retirees, pre-retirees","Retirement, Social Security, Medicare, long-term care, estate planning, housing",High,3,5,"Excellent for retirement economics, LTC costs, senior housing affordability and state comparisons."
Realtor.com News,https://www.realtor.com/news/,Housing consumer news,14,Tier 2,Yes,https://www.realtor.com/news/feed/,Home buyers/sellers/owners,"Retirement migration, senior housing, downsizing, multigenerational living",High,3,5,"Great for migration, housing affordability and aging-in-place geographic data."
USA Today,https://www.usatoday.com/,General consumer news,14,Tier 2,,,Mass national/local audience,"Retirement, aging, Medicare, caregiving, housing, consumer issues",High,3,5,Localized data may have value across the Gannett network.
Alzheimer's Association,https://www.alz.org/,Dementia consumer/nonprofit,13,Tier 3,,,"People with dementia, caregivers, families","Alzheimer's, dementia, caregiving, research",High,2,5,High-authority but selective; strong for dementia/caregiving data.
Better Homes & Gardens,https://www.bhg.com/,Home/lifestyle,13,Tier 3,,,Homeowners,"Aging in place, accessible design, multigenerational homes",High,3,4,Excellent non-obvious target for aging-in-place and home-modification data.
Consumer Reports,https://www.consumerreports.org/,Consumer advocacy,13,Tier 3,,,Consumers,"Elder care, assisted living, health, products, scams, finance",High,2,5,"Excellent authority target for costs, quality, consumer protection and senior-care decisions."
Erickson Senior Living,https://www.ericksonseniorliving.com/,Senior living provider media,13,Tier 3,,,Older adults and prospective residents,"Senior living, lifestyle, wellness, resident stories",Medium,3,3,Localized community publishing could match localized AgingWire data.
Experience Life,https://experiencelife.lifetime.life/,Health/lifestyle,13,Tier 3,Yes,https://experiencelife.lifetime.life/feed/,Health-conscious adults,"Healthy aging, fitness, longevity, wellness",Medium,3,4,Good for active-aging and longevity data.
First for Women,https://www.firstforwomen.com/,Women's lifestyle,13,Tier 3,,,Women 40+,"Health, wellness, money, lifestyle, aging",Medium,3,4,Useful for accessible health/lifestyle aging data.
MarketWatch Retirement,https://www.marketwatch.com/retirement,Finance/retirement,13,Tier 3,,,"Investors, retirees, pre-retirees","Retirement finance, Social Security, Medicare, housing, longevity",High,2,5,High-value earned media for economic and financial aging datasets.
NPR,https://www.npr.org/,Public media,13,Tier 3,,,Mass national audience,"Aging, health, caregiving, housing, retirement, policy",High,2,5,High-authority target for surprising national/local aging findings.
Prevention,https://www.prevention.com/,Health/lifestyle,13,Tier 3,,,"Adults, skewing midlife+","Healthy aging, longevity, wellness, menopause, brain health",Medium,3,4,"Good for women 50+, longevity and healthy-aging data."
Senior Planet,https://seniorplanet.org/,Older adult lifestyle & tech,13,Tier 3,,,Adults 60+,"Technology, aging, health, money, community, culture",Medium,3,3,"Best for age-tech, digital divide, fraud, connectivity and quality-of-life data."
U.S. News Retirement,https://money.usnews.com/money/retirement,Retirement consumer,13,Tier 3,,,Pre-retirees and retirees,"Retirement planning, places to retire, Social Security, Medicare, senior living",High,2,5,Natural fit for geographic rankings and retirement affordability studies.
Woman's World,https://www.womansworld.com/,Women's lifestyle,13,Tier 3,Yes,https://www.womansworld.com/feed/,Women 50+,"Health, money, relationships, lifestyle, aging",Medium,3,4,Consumer-friendly target for practical women 50+ findings.
Sisters From AARP,https://www.sistersletter.com/,Black women 40+,12,Tier 3,,,Black women 40+,"Health, money, caregiving, relationships, culture",Medium,2,4,Strong targeted outlet when research has a meaningful Black women/aging angle.
The Ethel,https://www.aarpethel.com/,Women 55+ lifestyle,12,Tier 3,,,Women 55+,"Relationships, health, travel, caregiving, life transitions",Medium,2,4,Useful for women-specific aging stories and lived-experience angles.
The Guardian US,https://www.theguardian.com/us,General consumer news,12,Tier 3,Yes,https://www.theguardian.com/us/rss,Mass audience,"Aging, caregiving, health, work, social policy",High,2,4,Good for social-impact aging trends and caregiver burden.
Healthline,https://www.healthline.com/,Consumer health,11,Tier 3,,,Health consumers,"Healthy aging, dementia, caregiver health, chronic disease",Medium,2,4,Useful for health/aging findings with strong evidence.
Senior Lifestyle Blog,https://www.seniorlifestyle.com/resources/blog/,Senior living provider media,11,Tier 3,,,Prospective residents and families,"Senior living, wellness, memory care, retirement lifestyle",Medium,2,3,More partnership/content-marketing prospect than independent earned-media target.
Verywell Health,https://www.verywellhealth.com/,Consumer health,11,Tier 3,,,Health consumers/caregivers,"Healthy aging, dementia, chronic conditions, caregiving",Medium,2,4,"Good for health-centered aging research, less direct for senior housing."
WebMD Healthy Aging,https://www.webmd.com/healthy-aging/,Consumer health,11,Tier 3,,,"Older adults, caregivers","Healthy aging, dementia, caregiving, conditions",Medium,2,4,Strong reach; best for health-focused studies.
Acts Retirement-Life Communities,https://www.actsretirement.org/latest-retirement-news/,Senior living provider media,10,Watchlist,,,Retirees/prospective residents,"Retirement, wellness, senior living, finance, lifestyle",Medium,2,3,Potential distribution/partnership target for retirement and community data.
National Institute on Aging,https://www.nia.nih.gov/,Government consumer health,10,Watchlist,,,"Older adults, caregivers, public","Aging research, health, caregiving, dementia",Medium,1,5,Authority/source more than publisher prospect.
SilverSneakers,https://www.silversneakers.com/blog/,Active aging,10,Watchlist,Yes,https://www.silversneakers.com/blog/feed/,Medicare-age adults,"Fitness, health, wellness, aging",Medium,2,3,"Best for physical activity, mobility and healthy-aging studies."
